'ad		1. (pron) Connacht form of agat	alt-of connacht
loingis		1. (noun) inflection of loingeas:<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of nominative plural
loingseoir		1. (noun) seaman, navigator	masculine topic-nautical topic-nautical-occupations
loingseoireacht		1. (noun) seamanship, (skill in) navigation<br />2. (noun) seafaring, voyaging<br />3. (noun) shipping	feminine
loirg		1. (verb) Munster form of lorg (“to track; to print”, verb)	alt-of munster
loirgim		1. (verb) first-person singular present indicative/imperative of loirg	
loisc		1. (verb) to burn, scorch<br />2. (verb) to sting<br />3. (verb) to cauterize	topic-hematology topic-surgery
loisceoir		1. (noun) incinerator	masculine
loiscfear		1. (verb) autonomous future of loisc	autonomous form-of future
loiscim		1. (verb) first-person singular present indicative/imperative of loisc	
loiscneach		1. (adj) burning, scorching, stinging<br />2. (adj) scorched, arid<br />3. (adj) caustic<br />4. (adj) fiery, fierce<br />5. (noun) firing, firewood<br />6. (noun) caustic	masculine
loiscneacha		1. (adj) nominative/vocative/dative/strong genitive plural of loiscneach	dative form-of genitive nominative plural strong vocative
loiscneacht		1. (noun) causticity	feminine
loiscnigh		1. (adj) vocative singular masculine of loiscneach<br />2. (adj) genitive singular masculine of loiscneach<br />3. (adj) dative singular feminine of loiscneach<br />4. (noun) genitive singular of loiscneach	archaic dative feminine form-of genitive masculine singular vocative
loiscní		1. (noun) fiery intensity, fieriness; aridity<br />2. (noun) burned, parched condition<br />3. (adj) inflection of loiscneach (“burning, scorching, stinging; scorched, arid; caustic; fiery, fierce”):<br />4. (adj) genitive singular feminine<br />5. (adj) comparative degree	comparative feminine form-of genitive singular
loistín		1. (noun) ear of a pot	masculine
loit		1. (verb) to wound, hurt, injure, impair<br />2. (verb) to destroy, damage, deface, mar, mutilate<br />3. (verb) to spoil (ruin; pamper)<br />4. (noun) inflection of lot:<br />5. (noun) vocative/genitive singular<br />6. (noun) nominative/dative plural	dative form-of nominative plural
loite		1. (adj) destroyed or demolished; ruined.<br />2. (adj) injured or hurt.<br />3. (verb) past participle of loit (“to destroy, to ruin, to injure”)	form-of participle past
loiteach		1. (adj) harmful, injurious	
loitiméir		1. (noun) destroyer, vandal<br />2. (noun) botcher	masculine
loitiméireacht		1. (noun) vandalism<br />2. (noun) destructiveness, destruction	feminine
lom		1. (adj) bare<br />2. (adj) unadorned, spare (austere, stripped down)<br />3. (adj) close-cropped<br />4. (adj) something bare<br />5. (verb) to strip, denude<br />6. (verb) to mow<br />7. (verb) to shear (a sheep)	ambitransitive masculine noun-from-verb
lom láithreach		1. (adv) then and there<br />2. (adv) right now<br />EXAMPLE: B'fhearr liom go mór tosú lom láithreach.: I would much rather start at once.	
loma		1. (adj) nominative/vocative/dative/strong genitive plural of lom<br />2. (verb) present subjunctive analytic of lom	analytic dative form-of genitive nominative plural present strong subjunctive vocative
lomabharróg		1. (noun) a tight hug<br />EXAMPLE: Do riug sé lomabharróg uirthi agus d’fháisc le n‑a chroidhe í agus do thug deocha póg di: “Tá an méid sin déanta go h‑anamhaith agat, a Mháire”, ar seisean.: He gave her a tight hug and squeezed her to his heart and gave her a smothering of kisses: “You have done so much very wekk, Máire,” he said.	feminine
lomadh		1. (noun) verbal noun of lom<br />2. (noun) baring, shearing (sheep), stripping, denudation, defoliation<br />3. (noun) impoverishment, fleecing<br />4. (verb) inflection of lom:<br />5. (verb) past habitual analytic<br />6. (verb) third-person singular imperative<br />7. (verb) past subjunctive analytic<br />8. (verb) past indicative autonomous	analytic autonomous form-of habitual imperative indicative masculine noun-from-verb past singular subjunctive third-person
lomaim		1. (verb) first-person singular present indicative/imperative of lom	
lomair		1. (verb) to shear, to fleece<br />2. (verb) to denude, to despoil	transitive
lomann		1. (verb) present indicative analytic of lom	analytic form-of indicative present
lomaosta		1. (adj) fairly old, well on in years	topic-age
lomas		1. (verb) first-person singular past indicative of lom	first-person form-of indicative literary munster past singular
lomcheart		1. (noun) bare justice	masculine topic-law
lomfad		1. (verb) first-person singular future of lom	archaic first-person form-of future munster singular
lomfadh		1. (verb) conditional analytic of lom	analytic conditional form-of
lomfaidh		1. (verb) analytic future of lom	analytic form-of future
lomnocht		1. (adj) stark naked, nude	
lomra		1. (noun) fleece<br />2. (noun) mop (of hair)	masculine
lomtha		1. (verb) past participle of lom<br />2. (noun) genitive singular of lomadh	form-of genitive masculine participle past singular
lománaí		1. (noun) logger, lumberjack	masculine topic-occupations
lománaíocht		1. (noun) logging, lumbering	feminine
lon		1. (noun) blackbird (a common true thrush, Turdus merula, found in woods and gardens over much of Eurasia, and introduced elsewhere)	masculine topic-thrushes
lon dubh		1. (noun) blackbird (a common true thrush, Turdus merula, found in woods and gardens over much of Eurasia, and introduced elsewhere)	masculine topic-thrushes
londubh		1. (noun) alternative form of lon dubh	alt-of alternative masculine
long		1. (noun) ship	feminine topic-watercraft
longa		1. (noun) nominative plural of long<br />2. (noun) vocative plural of long<br />3. (noun) dative plural of long	dative feminine form-of nominative plural vocative
longaibh		1. (noun) dative plural of long (“ship”)	archaic dative form-of plural
longaire		1. (noun) glutton	masculine rare topic-people
longchlós		1. (noun) shipyard	masculine
longfoirt		1. (noun) vocative singular of longfort<br />2. (noun) genitive singular of longfort<br />3. (noun) nominative plural of longfort<br />4. (noun) dative plural of longfort	dative form-of genitive masculine nominative plural singular vocative
longfort		1. (noun) camp<br />2. (noun) stronghold, fortified residence	masculine
longfortach		1. (adj) having camps, fortified	
longphort		1. (noun) alternative spelling of longfort	alt-of alternative masculine
lonnaigh		1. (verb) to stop, stay<br />2. (verb) to sojourn, settle<br />3. (verb) to haunt, frequent	
lonnaithe		1. (verb) past participle of lonnaigh<br />2. (adj) resident	form-of participle past
lonnaíocht		1. (noun) settlement, occupation, occupancy	feminine
lonrach		1. (adj) shining, shiny, bright, radiant, luminous, brilliant, glowing<br />EXAMPLE: súile lonracha: bright eyes<br />2. (adj) lustrous, glossy, glistening, gleaming, sparkling, resplendent<br />3. (adj) luminescent	
lonracht		1. (noun) brightness, sheen<br />2. (noun) luminescence	feminine topic-physics
lonradh		1. (noun) resplendence, radiance, brightness<br />EXAMPLE: lonradh scéimhe: radiant beauty<br />2. (noun) shining, gleaming	masculine
lonta		1. (noun) plural of lon	form-of masculine plural
lorg		1. (noun) verbal noun of lorg<br />2. (noun) trace, vestige, mark, impression<br />3. (noun) track, trail, path, course<br />4. (verb) to look for, seek<br />5. (verb) to ask for<br />6. (verb) to track, trace	form-of masculine noun-from-verb
lorg carbóin		1. (noun) carbon footprint	masculine topic-chemistry topic-ecology
lorga		1. (noun) shin (front part of the leg below the knee), shinbone, shank (lower part of the leg)<br />2. (noun) drumstick (leg bone of a chicken or other fowl)<br />3. (noun) cannon bone (metatarsal or metacarpal of a horse)<br />4. (noun) stem (above-ground stalk of a vascular plant, slender supporting member for an individual part of a plant, narrow supporting structure on certain man-made objects)<br />5. (noun) stalk (stem or main axis of a plant)<br />6. (noun) staff (long, straight, thick rod or stick)<br />7. (noun) shaft (e.g. of a golf club)	feminine
lorgain		1. (noun) dative singular of lorga	archaic dative form-of singular
lorgaire		1. (noun) tracker, pursuer<br />2. (noun) detective<br />3. (noun) seeker, searcher<br />4. (noun) follower, adherent	masculine
lorgaireacht		1. (noun) tracking, tracing, pursuing; seeking, searching, detection<br />2. (noun) following, adhering (ar, "to")	feminine
lorgan		1. (noun) genitive singular/plural of lorga	archaic form-of genitive plural singular
losa		1. (noun) inflection of lus (“plant, herb”):<br />2. (noun) genitive singular<br />3. (noun) nominative plural<br />4. (noun) inflection of los (“point, tip; tail; natural increase, produce; result; terminal”):	form-of genitive masculine nominative nonstandard plural singular
losaid		1. (noun) kneading trough; dough tray	feminine topic-baking topic-tools
losainn		1. (noun) lozenge (of sweet, etc.)	feminine topic-sweets
losainn chasachta		1. (noun) cough drop	feminine
loscann		1. (noun) frog<br />2. (noun) tadpole	masculine
loscánta		1. (adj) amphibious	
losna		1. (noun) snood	masculine topic-fishing
lot		1. (noun) verbal noun of loit<br />2. (noun) injury, impairment<br />3. (noun) destruction, defacement, mutilation<br />4. (verb) alternative form of loit (“wound, destroy, spoil”)	alt-of alternative form-of masculine noun-from-verb
lota		1. (noun) lot (plot of land)<br />2. (noun) alternative form of lochta (“loft; gallery”)<br />3. (noun) vocative plural of lot<br />4. (verb) analytic present subjunctive of lot<br />5. (verb) past participle of lot	alt-of alternative analytic form-of masculine participle past plural present subjunctive vocative
lua		1. (noun) verbal noun of luaigh<br />2. (noun) mention; citation, reference	form-of masculine noun-from-verb
luach		1. (noun) value<br />2. (noun) price<br />3. (noun) reward, recompense, requital	masculine
luach ainmniúil		1. (noun) nominal value	masculine topic-economics
luach-chomaoin		1. (noun) value, equivalent	feminine
luachair		1. (noun) rushes<br />2. (noun) rushy place, rushland<br />3. (adj) alternative form of luchair (“bright, glittering, resplendent”)	alt-of alternative feminine
luachmhaireacht		1. (noun) costliness, preciousness	feminine
luachmhar		1. (adj) valuable, costly, precious	
luachra		1. (noun) genitive singular of luachair (“rushes; rushland”)	feminine form-of genitive singular
luachrach		1. (adj) abounding in rushes, rushy<br />2. (noun) rushes; rushy place	collective feminine
luacháil		1. (verb) to value, evaluate<br />2. (noun) valuation; evaluation, appraisal	feminine
luachálaí		1. (noun) valuer	masculine
luadar		1. (noun) movement, activity; vigour<br />2. (noun) taxis<br />3. (verb) third-person singular past indicative of luaigh	form-of indicative masculine nonstandard past singular third-person topic-biology
luadh		1. (noun) verbal noun of luaidh<br />2. (verb) inflection of luaigh:<br />3. (verb) autonomous past indicative<br />4. (verb) analytic past habitual<br />5. (verb) analytic past subjunctive<br />6. (verb) third-person singular imperative	analytic autonomous form-of habitual imperative indicative masculine noun-from-verb past singular subjunctive third-person
luaidh		1. (verb) to move, set in motion, transport<br />2. (verb) to move, go	intransitive literary transitive
luaidhe		1. (noun) lead (metal element)<br />2. (noun) lead (substance inside pencil)<br />3. (noun) (sounding-)lead, plummet<br />4. (noun) sinker<br />5. (verb) analytic present subjunctive of luaidh	analytic feminine form-of present subjunctive topic-chemical-elements topic-fishing topic-nautical
luaidheanna		1. (noun) plural of luaidhe	form-of plural
luaidhim		1. (verb) first-person singular present indicative/imperative of luaidh	
luaidreán		1. (noun) movement, fluctuation<br />2. (noun) report, gossip, rumour	literary masculine
luaigh		1. (verb) mention, cite	ambitransitive
luail		1. (noun) moving; motion, activity	feminine
luaileach		1. (adj) restless<br />2. (adj) motor	topic-anatomy
luaim		1. (verb) first-person singular present indicative/imperative of luaigh	
luain		1. (noun) movement<br />2. (noun) vigorous exertion, hard work	feminine
luaineach		1. (adj) fast-moving, nimble; restless, unsteady; changeable, vacillating, inconstant<br />2. (adj) volatile	topic-chemistry
luaineacht		1. (noun) mobility, nimbleness; restlessness; changeableness, vacillation, inconstancy, fluctuation<br />2. (noun) volatility	feminine topic-chemistry
